District,Route,County,Postmile,Description,Back_Peak_Hour,Back_Peak_Month,Back_AADT,Ahead_Peak_Hour,Ahead_Peak_Month,Ahead_AADT
2,3 ,SIS,L48.164 ,"YREKA, OBERLIN RD",1400,11000,10100,1050,10300,9900
4,1 ,MRN, 12.21 ,"PANORAMIC HWY, NORTH",400,4950,3900,390,4900,3850
1,29 ,LAK, 21.65 ,SEIGLER CANYON RD,1050,11600,10600,950,10500,9600
2,299 ,SHA, 8.648 ,FRENCH GULCH RD,570,4650,3800,520,4200,4050
2,3 ,SIS,L49.207 ,"YREKA, CENTER ST",1000,9900,9500,1350,10600,9300
4,12 ,SON, 21.23 ,"SANTA ROSA, LOS ALAMOS RD",1800,21100,20700,1850,21900,21500
2,263 ,SIS, 49.07 ,"YREKA, JCT. RTE. 3",0,0,0,190,1800,1650
2,3 ,SIS,L49.871 ,"YREKA, JCT. RTE. 263 NORTH",530,4900,4800,560,4750,4650
2,5 ,SIS,R47.563 ,"YREKA, MINER ST",2600,23100,16600,2650,21600,15500
2,3 ,SIS,L50.159 ,"YREKA, JCT. RTE. 5",480,4100,4000,370,3550,3450
4,101 ,SON, 4.76 ,"PETALUMA, EAST WASHINGTON ST INTERCHANGE",7000,88000,86000,7000,88000,86000
1,29 ,LAK, 4.54 ,DRY CREEK CUTOFF,800,9500,9000,1000,10800,10200
1,53 ,LAK, 2.96 ,"CLEARLAKE HIGHLANDS, 40TH AVE",2200,18500,17000,1100,9900,8400
1,29 ,LAK, 4.15 ,RANCHERIA RD,750,8900,8400,800,9500,9000
2,263 ,SIS, 50.63 ,"HAWKINSVILLE, HUMBUG RD",160,1750,1550,100,1250,990
1,53 ,LAK, 1.47 ,"LAKESHORE DR, OLD STATE HWY",2250,17300,16000,2200,18500,17000
4,101 ,SON, 3.664 ,"PETALUMA, SOUTH JCT. RTE. 116 EAST",6200,78000,76000,7000,88000,86000
2,5 ,SIS,R69.293 ,OREGON STATE LINE,2800,18200,15100,0,0,0
1,175 ,LAK, 28.038 ,JCT. RTE. 29,340,3400,3100,0,0,0
1,29 ,LAK, 5.811 ,"MIDDLETOWN, JCT. RTE. 175",1050,11500,10800,1100,11600,10900
1,53 ,LAK, 7.445 ,JCT. RTE. 20,770,8200,7700,0,0,0
1,20 ,LAK, 31.62 ,JCT. RTE. 53 SOUTH,840,8800,8000,890,7700,6800
1,29 ,LAK, 20.31 ,JCT. RTE. 53 NORTH,1050,11500,10600,1000,11700,10600
1,53 ,LAK, 0 ,"LOWER LAKE, JCT. RTE. 29",0,0,0,2600,18200,17000
4,101 ,SON, 2.925 ,SOUTH PETALUMA,6500,82000,80000,6200,78000,76000
2,5 ,SIS,R42.508 ,KILLGORE HILLS RD,2200,21100,16600,2550,22700,17100
2,5 ,SIS,R68.328 ,HILT RD,1800,18400,15300,1800,18200,15100
1,29 ,LAK, 6.36 ,"MIDDLETOWN, BUTTS CANYON RD",1100,11600,10900,1100,12100,11300
4,128 ,NAP, 2.66 ,TUBBS LANE,280,3250,2900,940,9200,8650
4,101 ,SON, 2.232 ,KASTANIA RD,6500,82000,80000,6500,82000,80000
4,101 ,MRN, 27.627 ,MARIN/SONOMA COUNTY LINE,6500,82000,80000,0,0,0
4,101 ,SON, 0 ,MARIN/SONOMA COUNTY LINE,0,0,0,6500,82000,80000
2,3 ,SIS,R48.955 ,"YREKA, AGER RD",350,3550,3450,460,3450,3200
4,128 ,NAP, 3.62 ,"CALISTOGA, PETRIFIED FOREST RD",1250,11500,11700,1300,13200,11900
4,29 ,NAP, 39.5 ,TUBBS LANE,400,5200,4500,730,8900,8300
4,116 ,SON, 36.36 ,FRATES RD/CADER LANE,1950,26500,25000,1500,20400,19400
4,101 ,MRN, 26.9 ,SAN ANTONIO RD,6500,82000,80000,6500,82000,80000
2,3 ,SIS,R49.454 ,"YREKA, PHILIPE LANE",460,3450,3200,390,3400,3000
2,5 ,SIS,R65.517R,BAILEY HILL RD,1300,9000,7100,1300,9000,7100
4,29 ,NAP, 48.582 ,NAPA LAKE COUNTY LINE,720,8700,8200,0,0,0
1,29 ,LAK, 0 ,NAPA LAKE COUNTY LINE,0,0,0,730,8700,8200
2,263 ,SIS, 57.195 ,JCT. RTE. 96,100,1250,990,0,0,0
2,96 ,SIS, 103.418 ,JCT. RTE. 263 SOUTH,110,1050,800,70,650,510
4,29 ,NAP, 36.893 ,"CALISTOGA, JCT. RTE. 128 NORTHWEST",1150,14300,13400,770,9800,8900
4,29 ,NAP, 37.902 ,"CALISTOGA, SILVERADO TRAIL",380,5000,4400,390,5200,4400
4,1 ,MRN, 5.92 ,MUIR WOODS RD,320,3900,3100,400,4950,3900
1,29 ,LAK, 11.93 ,SPRUCE GROVE RD,890,9500,9000,890,9600,9000
2,5 ,SIS,R62.921 ,DITCH CREEK RD,2950,17300,15200,2950,17800,15300
1,29 ,LAK, 11.124 ,HIDDEN VALLEY/SPRUCE RD,990,10600,10000,890,9500,9000
2,5 ,SIS,R58.326R,JCT. RTE. 96 WEST,1250,7800,6600,1300,8100,7100
2,5 ,SIS,R58.326L,"JCT. RTE. 96 W, KLAMATH RIVER RD REST AREA",1350,9000,7300,1450,10400,8100
2,96 ,SIS, 105.823 ,JCT. RTE. 5,70,650,510,0,0,0
2,5 ,SIS,R61.553 ,HENLEY WAY,3100,17500,15200,2950,17300,15200
4,101 ,MRN,R22 ,ATHERTON AVE INTERCHANGE,7100,89000,87000,6500,82000,80000
4,101 ,MRN,R21.111 ,"NOVATO, DE LONG AVE INTERCHANGE",8500,107000,104000,7100,89000,87000
4,101 ,MRN,R20.19 ,"NOVATO, ROWLAND AVE INTERCHANGE",10000,127000,123000,8500,107000,104000
4,12 ,SON, 26.11 ,ADOBE CANYON RD,1500,17400,17100,1500,17400,17100
4,1 ,MRN, 3.35 ,SOUTH JCT. PANORAMIC HWY,670,8200,6500,340,4200,3350
4,116 ,SON, 39.27 ,LAKEVILLE RD,1300,17500,16600,290,3350,3200
4,101 ,MRN, 19.085 ,"NOVATO, JCT. RTE. 37 EAST",11900,151000,146000,10000,127000,123000
4,12 ,SON, 27.03 ,"KENWOOD, WARM SPRINGS RD",1350,15700,15400,1350,16000,15700
4,37 ,MRN,R11.2 ,"NOVATO, JCT. RTE. 101",0,0,0,2900,37000,34000
4,101 ,MRN, 13.713 ,MANUEL FREITAS PARKWAY,13600,173000,167000,12900,164000,159000
4,101 ,MRN, 14.707 ,LUCAS VALLEY RD INTERCHANGE,12900,164000,159000,12300,156000,151000
4,1 ,MRN, 1.91 ,LORING AVE,1250,12800,12000,820,8500,8000
