DISTRICT,RTE,RTE_SFX,CNTY,PM_PFX,PM,PM_SFX,DESCRIPTION,BACK_PEAK_HOUR,BACK_PEAK_MADT,BACK_AADT,AHEAD_PEAK_HOUR,AHEAD_PEAK_MADT,AHEAD_AADT,,
05,001,,SLO,,58.900,,"SAN SIMEON, NORTH",380,3800,2600,370,3700,2550,,"81,200"
05,001,,SLO,,71.341,,SAN CARPOJO CREEK,200,1850,1350,200,1850,1350,,"86,300"
05,001,,SLO,,74.324,,SAN LUIS OBISPO/MONTEREY COUNTY LINE,100,950,710,0,0,0,,"86,900"
05,001,,MON,,0,,SAN LUIS OBISPO/MONTEREY COUNTY LINE,0,0,0,210,1700,1300,,"87,100"
05,001,,MON,,35.346,,ANDERSON CANYON BRIDGE,250,1950,1510,300,2300,1800,,"94,100"
05,001,,MON,,46.595,,BIG SUR RIVER BRIDGE,590,4500,3500,590,4500,3500,,"94,100"
05,001,,MON,,62.972,,"BIG SUR, GARRAPATA CREEK BRIDGE",650,7400,5750,650,7400,5750,,"94,100"
05,001,,MON,,68.335,,"CARMEL HIGHLANDS, YANKEE POINT DRIVE NORTH",780,7900,6350,750,8600,6850,,"94,100"
05,001,,MON,,71.179,,SAN JOSE CREEK BRIDGE,1100,13400,10700,1100,13400,10700,,"100,000"
05,001,,MON,,72.614,,RIO ROAD,1100,12600,10100,1400,19100,15300,,"100,000"
05,001,,MON,,72.921,,"CARMEL VALLEY ROAD, CARMEL, SOUTH",1400,19100,15300,3100,43000,34500,,"100,000"
05,001,,MON,,73.800,,"CARMEL, OCEAN AVENUE",3450,47500,37900,2650,46000,37000,,"100,000"
05,001,,MON,,75.135,,"JCT. RTE. 68, CARMEL- PACIFIC GROVE",3100,52000,43200,4250,63000,52100,,"100,000"
05,001,,MON,R,75.733,,MONTEREY SOUTH CITY LIMITS,4250,63000,52100,4250,63000,52100,,"103,720"
05,001,,MON,R,75.754,,"MONTEREY, MUNRAS AVENUE ",4250,63000,52100,3950,59000,48700,,"103,720"
05,001,,MON,R,77.379,,"MONTEREY, AGUAJITO ROAD",4500,69000,57000,6800,111000,91200,,"103,720"
05,001,,MON,R,78.119,,"MONTEREY, JCT. RTE. 68 EAST",6300,103000,84600,5500,75000,61500,,"103,720"
05,001,,MON,R,78.883,,"MONTEREY, DEL MONTE AVENUE",5800,79000,64700,7500,96000,79100,,"103,720"
05,001,,MON,R,79.357,,"SEASIDE, JCT. RTE. 218",6800,87000,72000,6800,94000,77200,,"103,720"
05,001,,MON,R,80.679,,ORD VILLAGE ,7300,101000,83500,7900,98000,81100,,"103,720"
05,001,,MON,R,82.890,,"FORT ORD, MAIN ENTRANCE",7900,98000,81100,7800,94000,77800,,"110,550"
05,001,,MON,R,84.484,,"FORT ORD, NORTH ENTRANCE (12TH STREET)",7800,94000,77800,6600,77000,63300,,"110,550"
05,001,,MON,R,85.135,,SOUTH MARINA,6600,77000,63300,4750,51000,42000,,"111,340"
05,001,,MON,R,86.481,,RESERVATION ROAD,4750,51000,42000,4900,51000,41700,,"111,340"
05,001,,MON,R,88.638,,NEPONSET ROAD (DEL MONTE BOULEVARD),4900,51000,41700,4000,55000,45000,,"111,340"
05,001,,MON,R,89.185,,"SALINAS RIVER BRIDGE, CASTROVILLE, SOUTH",4800,55000,45000,4800,55000,45000,,"111,340"
05,001,,MON,R,90.388,,MOLERA/NASHUA ROADS ,4800,55000,45000,5000,59000,49000,,"111,340"
05,001,,MON,R,90.979,,"CASTROVILLE, JCT. RTE. 156 WEST",5000,59000,490200,3100,20300,16700,,"111,340"
05,001,,MON,T,92.213,,"CASTROVILLE, JCT. RTE. 183",3100,20300,16700,3600,38500,31800,,"111,930"
05,001,,MON,,94.400,,MOLERA ROAD,3600,38500,31800,3000,38500,31800,,"114,786"
05,001,,MON,,96.101,,"MOSS LANDING, DOLAN ROAD",3000,38500,31800,4200,46000,38000,,"114,786"
05,001,,MON,,99.920,,JENSEN ROAD,4200,46000,38000,3750,43500,35700,,"114,786"
05,001,,MON,T,101.040,,SALINAS/PAJARO ROADS,3750,43500,35700,2800,36000,29700,,"115,700"
05,001,,MON,R,102.031,,MONTEREY/SANTA CRUZ COUNTY LINE,2800,36000,29700,0,0,0,,"116,100"
05,001,,SCR,R,0,,MONTEREY/SANTA CRUZ COUNTY LINE,0,0,0,4100,50000,44600,,"117,000"
05,001,,SCR,R,0.716,,JCT. RTE. 129,4300,47500,42300,4200,51000,45700,,"117,000"
05,001,,SCR,R,2.269,,"WATSONVILLE, HARKINS SLOUGH ROAD OC",4450,54000,48000,3650,44000,38900,,"117,000"
05,001,,SCR,R,2.683,,JCT. RTE. 152,3650,44000,38900,6300,71000,66900,,"117,000"
05,001,,SCR,R,3.181,,"WATSONVILLE, AIRPORT BOULEVARD/ROACHE RD",6300,71000,66900,6900,82000,72300,,"117,000"
05,001,,SCR,R,4.073,,BUENA VISTA DRIVE (SPRING VALLEY ROAD),6900,82000,72300,6700,80000,70800,,"120,350"
05,001,,SCR,R,6.688,,MAR MONTE AVENUE (LA SELVA BEACH ROAD),6700,80000,70700,6700,79000,70700,,"120,350"
05,001,,SCR,R,7.663,,LARKIN VALLEY ROAD,6700,79000,70700,6800,84000,76200,,"120,350"
05,001,,SCR,,8.355,,FREEDOM BOULEVARD ,6800,86000,76200,7700,91000,86200,,"121,380"
05,001,,SCR,,9.153,,RIO DEL MAR N/O FREEDOM BOULEVARD,7700,91000,86200,8100,97000,92000,,"121,380"
05,001,,SCR,,10.535,,STATE PARK DRIVE ,8100,97000,92000,8000,103000,96300,,"121,380"
05,001,,SCR,,12.088,,"CAPITOLA, PARK AVENUE",7900,101000,96300,6700,103000,99700,,"121,380"
05,001,,SCR,,13.192,,"CAPITOLA, BAY AVENUE ",6700,103000,99700,7000,109000,106000,,"121,380"
05,001,,SCR,,13.620,,"CAPITOLA, 41ST AVENUE",7000,109000,106000,6100,93000,90600,,"121,380"
05,001,,SCR,,14.864,,SOQUEL AVENUE,6100,93000,90600,6800,105000,102000,,"121,380"
05,001,,SCR,,15.822,,"SANTA CRUZ, MORRISSEY BOULEVARD",6800,105000,102000,6100,100000,96300,,"121,380"
05,001,,SCR,,16.628,,"SANTA CRUZ, EMELINE STREET CONNECTION",6700,100000,96300,6900,99000,94200,,"121,380"
05,001,,SCR,,16.821,,"SANTA CRUZ, JCT. RTE. 17 NORTH",6900,99000,94200,5300,67000,64900,,"121,380"
05,001,,SCR,,17.560,,JCT. RTE. 9 NORTH,5300,67000,64900,4550,52000,49700,,"121,380"
05,001,,SCR,,18.239,,"SANTA CRUZ, MISSION STREET",4550,52000,49700,5200,60000,58100,,"121,380"
05,001,,SCR,,19,,"SANTA CRUZ, BAY STREET",3600,41000,39100,2600,40500,28000,,"121,380"
05,001,,SCR,,19.690,,"SANTA CRUZ, SWIFT STREET",2350,27000,25300,3250,25500,20700,,"121,380"
05,001,,SCR,,20.611,,"SANTA CRUZ, NORTH CITY LIMITS",2550,20500,16300,2550,20800,16200,,"121,380"
05,001,,SCR,,27.620,,BONNY DOON ROAD,2750,17800,13700,3100,17300,13000,,"121,380"
05,001,,SCR,,30.120,,"DAVENPORT, NORTH (SWANTON ROAD)",3100,17300,13000,2850,15800,12100,,"121,380"
05,001,,SCR,,30.440,,LANDING/SWANTON ROADS,2650,14300,10500,2650,14900,10800,,"121,380"
05,001,,SCR,,37.451,,SANTA CRUZ/SAN MATEO COUNTY LINE,1250,8800,7200,0,0,0,,"121,380"
04,001,,SM,,0,,SANTA CRUZ/SAN MATEO COUNTY LINE,0,0,0,900,7000,5400,,"133,700"
04,001,,SM,,13.579,,PEBBLE BEACH ROAD (TO PESCADERO),700,5300,4200,1300,10000,7900,,"133,700"
04,001,,SM,,18.189,,JCT. RTE. 84 EAST,1400,9400,7700,1200,9100,7600,,"133,700"
04,001,,SM,,20.980,,TUNITAS CREEK ROAD,1200,8900,7400,1400,10700,8700,,"133,700"
04,001,,SM,,23.060,,MEYN/VERDE ROADS,1300,10400,8400,1300,10900,8600,,"133,700"
04,001,,SM,,26.432,,MIRAMONTES POINT ROAD,1400,12200,9600,2100,18800,15600,,"133,700"
04,001,,SM,,27.750,,"HALF MOON BAY, MAIN STREET",2500,22200,18500,2300,20700,17200,,"133,700"
04,001,,SM,,29.036,,"HALF MOON BAY, JCT. RTE. 92 EAST",2900,36000,32600,2600,32000,29400,,"133,700"
04,001,,SM,,29.120,,"HALF MOON BAY, MAIN STREET",2600,31500,29400,3000,37000,34200,,"133,700"
04,001,,SM,,30.225,,FRENCHMANS CREEK ROAD,2500,30000,28400,2500,30500,28400,,"133,700"
04,001,,SM,,33.361,,CAPISTRANO/OBISPO ROADS,2300,23700,21900,2200,21400,19600,,"133,700"
04,001,,SM,,35.334,,VALLEMAR/ETHELDORE STREETS,2100,18700,17000,2200,19700,18100,,"133,700"
04,001,,SM,,40.752,,"PACIFICA, SAN PEDRO AVENUE",2000,18200,16800,2000,18200,16800,,"133,740"
04,001,,SM,,40.959,,"PACIFICA, LINDA MAR BOULEVARD",2000,17900,16800,3300,39000,36800,,"133,740"
04,001,,SM,,42.014,,"PACIFICA, ROCKAWAY BEACH AVENUE",3600,43500,41000,4700,57000,53600,,"133,740"
04,001,,SM,R,42.583,,"PACIFICA, REINA DEL MAR AVENUE (TO VALLEMAR)",4700,57000,53600,4800,58000,54600,,"144,700"
04,001,,SM,R,43.464,,"PACIFICA, SHARP PARK ROAD ",4600,55000,52500,3400,40500,38900,,"145,300"
04,001,,SM,R,43.744,,"PACIFICA, CLAREDON ROAD/ OCEANA BOULEVARD",3400,40500,38900,3100,37500,35700,,"145,300"
04,001,,SM,R,44.880,,"PACIFICA, MILAGRA DRIVE",3700,44000,42600,3000,36000,34200,,"145,300"
04,001,,SM,R,45.390,,"PACIFICA, MONTEREY ROAD",3000,36000,34200,4200,50000,47800,,"145,300"
04,001,,SM,R,46.722,,"DALY CITY, JCT. RTE. 35",4200,50000,47800,6400,76000,72500,,"147,420"
04,001,,SM,R,47.272,,"DALY CITY, CLARINADA AVENUE ",6400,76000,72500,7100,84000,80900,,"148,700"
04,001,,SM,R,47.802,,SOUTH JCT. RTE. 280,7100,84000,80900,7100,84000,80900,,"148,700"
04,001,,SM,R,48.359,,NORTH JCT. RTE. 280,7100,84000,80900,6400,94000,90300,,"152,200"
04,001,,SM,R,48.558,,SAN MATEO/SAN FRANCISCO COUNTY LINE,6400,94000,90300,0,0,0,,"152,200"
04,001,,SF,R,0,,SAN MATEO/SAN FRANCISCO COUNTY LINE,0,0,0,6400,94000,90300,,"152,600"
04,001,,SF,R,0.105,,"SAN FRANCISCO, ALEMANY BOULEVARD",7600,111000,108200,7100,104000,100800,,"152,600"
04,001,,SF,R,0.312,,BROTHERHOOD WAY/STANLEY DRIVE,7100,104000,100800,6600,96000,92400,,"152,600"
04,001,,SF,R,0.680,,"SAN FRANCISCO, 19TH AVENUE/ JUNIPERO SERRA BOULEVARD",6600,96000,92400,5300,77000,74600,,"152,600"
